NIT,RAZÓN SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS,GANANCIA,ACTIVOS,PASIVOS,PATRIMONIO,Año de Corte,ratio_deuda_activos,ratio_deuda_patrimonio,ratio_apalancamiento_total,ROA,cluster,mahalanobis_dist
"901,219,993",COBB COLOMBIA S.A.S.,SUPERSOCIEDADES,BOGOTÁ - CUNDINAMARCA,BOGOTA D.C.,"BOGOTA, D.C.",145,AGROPECUARIO,0.04,-0.03,0.01,0.14,-0.12,"2,024",14.000000000000002,-1.1666666666666667,-0.08333333333333334,-3.0,2,41.60566758376081
"809,008,362",PIJAOS SALUD EPSI,SUPERSALUD,OTROS,TOLIMA,IBAGUE,"8,699",SERVICIOS,0.19,-0.03,0.01,0.13,-0.13,"2,023",13.0,-1.0,-0.07692307692307693,-3.0,2,38.358214442541076
"809,008,362",PIJAOS SALUD EPSI,SUPERSALUD,OTROS,TOLIMA,IBAGUE,"8,699",SERVICIOS,0.16,-0.03,0.01,0.1,-0.09,"2,022",10.0,-1.1111111111111112,-0.11111111111111112,-3.0,2,29.35002803924567
"901,021,565",EMSSANAR ENTIDAD PROMOTORA DE SALUD S.A.S.,SUPERSALUD,COSTA PACÍFICA,NARIÑO,PASTO,"8,699",SERVICIOS,2.77,-0.45,0.23,2.13,-1.9,"2,023",9.26086956521739,-1.1210526315789473,-0.12105263157894738,-1.9565217391304348,2,27.10732502450006
"891,180,008",CCF HUILA,SUPERSALUD,OTROS,HUILA,NEIVA,"8,699",SERVICIOS,0.48,-0.12,0.05,0.46,-0.41,"2,022",9.2,-1.1219512195121952,-0.12195121951219513,-2.4,2,26.922668075719905
"837,000,084",EPS INDÍGENA MALLAMÁS,SUPERSALUD,COSTA PACÍFICA,NARIÑO,IPIALES,"8,430",SERVICIOS,0.44,-0.11,0.02,0.17,-0.14,"2,022",8.5,-1.2142857142857142,-0.14285714285714285,-5.5,2,24.89584012289724
"837,000,084",IPS INDÍGENA MALLAMÁS,SUPERSALUD,COSTA PACÍFICA,NARIÑO,IPIALES,"8,430",SERVICIOS,0.55,-0.08,0.03,0.25,-0.23,"2,023",8.333333333333334,-1.0869565217391304,-0.13043478260869565,-2.666666666666667,2,24.236476861117676
"830,002,344",AMERICAFLOR FUSIONADA S.A.S. EN REORGANIZACION,SUPERSOCIEDADES,BOGOTÁ - CUNDINAMARCA,CUNDINAMARCA,MOSQUERA,"4,620",COMERCIO,0.04,0.01,0.03,0.24,-0.21,"2,023",8.0,-1.1428571428571428,-0.14285714285714285,0.33333333333333337,2,23.283740268270716
"809,008,362",PIJAOS SALUD EPSI,SUPERSALUD,OTROS,TOLIMA,IBAGUE,"8,699",SERVICIOS,0.14,-0.02,0.01,0.08,-0.07,"2,021",8.0,-1.1428571428571428,-0.14285714285714285,-2.0,2,23.283740268270716
"901,126,286",PROYECTOS DE INVERSION VIAL DEL PACIFICO S.A.S.,SUPERSOCIEDADES,ANTIOQUIA,ANTIOQUIA,SABANETA,"4,210",CONSTRUCCIÓN,0.15,-0.16,0.08,0.57,-0.49,"2,023",7.124999999999999,-1.163265306122449,-0.163265306122449,-2.0,2,20.632714473516646
"802,024,439",CARBONES DE LA JAGUA S.A.,SUPERSOCIEDADES,COSTA ATLÁNTICA,ATLANTICO,BARRANQUILLA,510,MINERO,0.13,0.07,0.19,1.23,-1.03,"2,022",6.473684210526316,-1.1941747572815533,-0.18446601941747573,0.368421052631579,2,18.67454557594473
"802,024,439",CARBONES DE LA JAGUA S.A.,SUPERSOCIEDADES,COSTA ATLÁNTICA,ATLANTICO,BARRANQUILLA,510,MINERO,0.06,-0.02,0.17,1.09,-0.92,"2,021",6.411764705882353,-1.184782608695652,-0.1847826086956522,-0.11764705882352941,2,18.47403693590246
"900,618,448",PRODIEL COLOMBIA S.A.S.,SUPERSOCIEDADES,BOGOTÁ - CUNDINAMARCA,BOGOTA D.C.,"BOGOTA, D.C.","4,321",CONSTRUCCIÓN,0.01,-0.0,0.01,0.06,-0.05,"2,021",6.0,-1.2,-0.19999999999999998,-0.0,2,17.229080401721248
"901,329,757",V V TECHNOLOGY S.A.S.,SUPERSOCIEDADES,BOGOTÁ - CUNDINAMARCA,BOGOTA D.C.,"BOGOTA, D.C.","4,652",COMERCIO,0.23,-0.07,0.05,0.27,-0.22,"2,024",5.4,-1.2272727272727273,-0.2272727272727273,-1.4000000000000001,2,15.417367358471322
"900,604,350",ALIANZA MEDELLIN ANTIOQUIA EPS S.A.S. 'SAVIA SALUD EPS',SUPERSALUD,ANTIOQUIA,ANTIOQUIA,MEDELLIN,"8,430",SERVICIOS,2.61,-0.22,0.18,0.97,-0.79,"2,023",5.388888888888889,-1.2278481012658227,-0.22784810126582278,-1.2222222222222223,2,15.38384987108469
"901,255,412",SANULAC NUTRICION COLOMBIA S.A.S.,SUPERSOCIEDADES,BOGOTÁ - CUNDINAMARCA,BOGOTA D.C.,"BOGOTA, D.C.","4,669",COMERCIO,0.02,-0.0,0.01,0.05,-0.03,"2,024",5.0,-1.6666666666666667,-0.33333333333333337,-0.0,2,14.707637650010833
"901,021,565",EMSSANAR ESS,SUPERSALUD,COSTA PACÍFICA,NARIÑO,PASTO,"8,699",SERVICIOS,2.53,-0.42,0.36,1.82,-1.46,"2,022",5.055555555555556,-1.2465753424657535,-0.2465753424657534,-1.1666666666666667,2,14.379010624179312
"900,212,103",SPIRIT AIRLINES INC,SUPERTRANSPORTE,BOGOTÁ - CUNDINAMARCA,BOGOTA D.C.,"BOGOTA, D.C.","5,112",SERVICIOS,0.13,-0.03,0.02,0.1,-0.08,"2,024",5.0,-1.25,-0.25,-1.5,2,14.211679535771308
"830,513,134",VD EL MUNDO A SUS PIES S.A.S. EN REORGANIZACION,SUPERSOCIEDADES,BOGOTÁ - CUNDINAMARCA,BOGOTA D.C.,"BOGOTA, D.C.","4,772",COMERCIO,0.07,-0.02,0.08,0.37,-0.28,"2,021",4.625,-1.3214285714285714,-0.2857142857142857,-0.25,2,13.133951784675965
"891,180,008",CCF HUILA,SUPERSALUD,OTROS,HUILA,NEIVA,"8,699",SERVICIOS,0.67,-0.05,0.08,0.37,-0.29,"2,021",4.625,-1.2758620689655173,-0.2758620689655173,-0.625,2,13.08348537920358
