modelo,split,n,prevalencia,roc_auc,pr_auc,brier,log_loss,precision,recall,f1,tn,fp,fn,tp
LogReg_calibrada,train,64,0.406,0.9443,0.8974,0.0956,0.3008,0.8148,0.8462,0.8302,33,5,4,22
LogReg_calibrada,valid,8,0.75,0.875,0.9484,0.1418,0.414,0.75,1.0,0.8571,0,2,0,6
LogReg_calibrada,test,8,0.75,1.0,1.0,0.0162,0.0885,1.0,1.0,1.0,2,0,0,6
RandomForest_calibrado,train,64,0.406,0.998,0.9973,0.0391,0.1649,0.9286,1.0,0.963,36,2,0,26
RandomForest_calibrado,valid,8,0.75,0.5,0.8357,0.2596,0.7115,0.6667,0.6667,0.6667,0,2,2,4
RandomForest_calibrado,test,8,0.75,1.0,1.0,0.1015,0.349,1.0,1.0,1.0,2,0,0,6
GradientBoosting_calibrado,train,64,0.406,1.0,1.0,0.0294,0.1486,1.0,1.0,1.0,38,0,0,26
GradientBoosting_calibrado,valid,8,0.75,0.6667,0.8817,0.1835,0.5473,0.8333,0.8333,0.8333,1,1,1,5
GradientBoosting_calibrado,test,8,0.75,1.0,1.0,0.1343,0.432,1.0,0.8333,0.9091,2,0,1,5
SVM_calibrado,train,64,0.406,0.9863,0.983,0.0623,0.2099,0.8571,0.9231,0.8889,34,4,2,24
SVM_calibrado,valid,8,0.75,0.6667,0.8317,0.1687,0.5137,0.75,1.0,0.8571,0,2,0,6
SVM_calibrado,test,8,0.75,1.0,1.0,0.0495,0.2059,1.0,1.0,1.0,2,0,0,6
KNN_calibrado,train,64,0.406,1.0,1.0,0.0255,0.1443,1.0,1.0,1.0,38,0,0,26
KNN_calibrado,valid,8,0.75,0.625,0.8556,0.2296,0.6452,0.8,0.6667,0.7273,1,1,2,4
KNN_calibrado,test,8,0.75,1.0,1.0,0.1107,0.3812,1.0,1.0,1.0,2,0,0,6
Voting_Ensemble,train,64,0.406,0.9985,0.9971,0.0381,0.1657,0.963,1.0,0.9811,37,1,0,26
Voting_Ensemble,valid,8,0.75,0.625,0.8774,0.2016,0.5733,0.7143,0.8333,0.7692,0,2,1,5
Voting_Ensemble,test,8,0.75,1.0,1.0,0.0975,0.3434,1.0,1.0,1.0,2,0,0,6
